Index,Amplitude
444,-1812661480
445,-1729602974
446,-1638433475
447,-1539580524
448,-1433507691
449,-1320712408
450,-1201723629
451,-1077099354
452,-947424008
453,-813305707
454,-675373399
455,-534273920
456,-390668957
457,-245231948
458,-98644920
459,48404702
460,195227332
461,341134441
462,485441795
463,627472665
464,766560995
465,902054528
466,1033317866
467,1159735448
468,1280714437
469,1395687501
470,1504115473
471,1605489878
472,1699335319
473,1785211708
474,1862716327
475,1931485715
476,1991197380
477,2041571301
478,2082371250
479,2113405895
480,2134529699
481,2145643602
482,2146695484
483,2137680413
484,2118640665
485,2089665528
486,2050890880
487,2002498555
488,1944715491
489,1877812661
490,1802103807
491,1717943967
492,1625727808
493,1525887780
494,1418892084
495,1305242478
496,1185471921
497,1060142081
498,929840692
499,795178804
500,656787917
501,515317014
502,371429527
503,225800217
504,79112014
505,-67947185
506,-214687746
507,-360421525
508,-504465105
509,-646142989
510,-784790778
511,-919758282
512,-1050412569
513,-1176140934
514,-1296353772
515,-1410487345
516,-1518006421
517,-1618406788
518,-1711217619
519,-1796003674
520,-1872367350
521,-1939950538
522,-1998436305
523,-2047550382
524,-2087062448
525,-2116787211
526,-2136585276
527,-2146363800
528,-2146076926
529,-2135725999
530,-2115359561
531,-2085073120
532,-2045008705
533,-1995354198
534,-1936342454
535,-1868250211
536,-1791396786
537,-1706142586
538,-1612887410
539,-1512068581
540,-1404158888
541,-1289664376
542,-1169121968
543,-1043096950
544,-912180316
545,-776986002
546,-638148003
547,-496317402
548,-352159315
549,-206349773
550,-59572551
551,87484036
552,234130367
553,379678741
554,523446607
555,664759764
556,802955522
557,937385811
558,1067420219
559,1192448948
560,1311885673
561,1425170295
562,1531771565
563,1631189575
564,1722958102
565,1806646798
566,1881863203
567,1948254588
568,2005509611
569,2053359774
570,2091580683
571,2119993100
572,2138463785
573,2146906119
574,2145280513
575,2133594589
576,2111903149
577,2080307914
578,2038957052
579,1988044477
580,1927808945
581,1858532931
582,1780541305
583,1694199810
584,1599913346
585,1498124070
586,1389309323
587,1273979395
588,1152675125
589,1025965373
590,894444344
591,758728808
592,619455204
593,477276659
594,332859918
595,186882228
596,40028151
597,-107013638
598,-253553585
599,-398904491
600,-542384729
601,-683321447
602,-821053722
603,-954935656
604,-1084339408
605,-1208658139
606,-1327308853
607,-1439735136
608,-1545409766
609,-1643837178
610,-1734555798
611,-1817140197
612,-1891203097
613,-1956397179
614,-2012416713
615,-2058998996
616,-2095925580
617,-2123023296
618,-2140165071
619,-2147270516
620,-2144306312
621,-2131286359
622,-2108271714
623,-2075370305
624,-2032736423
625,-1980569999
626,-1919115671
627,-1848661627
628,-1769538263
629,-1682116629
630,-1586806690
631,-1484055403
632,-1374344621
633,-1258188834
634,-1136132756
635,-1008748770
636,-876634246
637,-740408735
638,-600711069
639,-458196361
640,-313532936
641,-167399195
642,-20480434
643,126534370
644,272955790
645,418097181
646,561277901
647,701826501
648,839083878
649,972406362
650,1101168734
651,1224767163
652,1342622033
653,1454180661
654,1558919892
655,1656348550
656,1746009743
657,1827483003
658,1900386261
659,1964377635
660,2019157038
661,2064467581
662,2100096779
663,2125877549
664,2141688992
665,2147456960
666,2143154404
667,2128801501
668,2104465559
669,2070260701
670,2026347332
671,1972931384
672,1910263351
673,1838637117
674,1758388572
675,1669894044
676,1573568529
677,1469863746
678,1359266021
679,1242294001
680,1119496230
681,991448568
682,858751497
683,722027301
684,581917149
685,439078091
686,294179970
687,147902289
688,931019
689,-146044616
690,-292335375
691,-437255223
692,-580124558
693,-720273392
694,-857044496
695,-989796480
696,-1117906801
697,-1240774686
698,-1357823944
699,-1468505671
700,-1572300824
701,-1668722654
702,-1757318990
703,-1837674358
704,-1909411931
705,-1972195295
706,-2025730027
707,-2069765074
708,-2104093935
709,-2128555622
710,-2143035424
711,-2147465436
712,-2141824884
713,-2126140221
714,-2100484998
715,-2064979526
716,-2019790310
717,-1965129263
718,-1901252720
719,-1828460231
720,-1747093157
721,-1657533069
722,-1560199960
723,-1455550277
724,-1344074773
725,-1226296215
726,-1102766927
727,-974066201
728,-840797580
729,-703586030
730,-563075004
731,-419923432
732,-274802624
733,-128393126
734,18618472
735,165542759
736,311690732
737,456377027
738,598923138
739,738660591
740,874934087
741,1007104569
742,1134552223
743,1256679382
744,1372913328
745,1482708981
746,1585551453
747,1680958464
748,1768482600
749,1847713417
750,1918279361
751,1979849512
752,2032135136
753,2074891038
754,2107916715
755,2131057293
756,2144204253
757,2147295942
758,2140317863
759,2123302738
760,2096330361
761,2059527218
762,2013065899
763,1957164284
764,1892084525
765,1818131814
766,1735652952
767,1645034727
768,1546702092
769,1441116179
770,1328772136
771,1210196801
772,1085946234
773,956603109
774,822773983
775,685086450
776,544186195
777,400733973
778,255402504
779,108873323
780,-38166420
781,-185027183
782,-331020258
783,-475461010
784,-617672082
785,-756986574
786,-892751168
787,-1024329196
788,-1151103620
789,-1272479931
790,-1387888932
791,-1496789412
792,-1598670681
793,-1693054966
794,-1779499649
795,-1857599349
796,-1926987815
797,-1987339650
798,-2038371833
799,-2079845047
800,-2111564805
801,-2133382354
802,-2145195383
803,-2146948494
804,-2138633464
805,-2120289289
806,-2092001993
807,-2053904229
808,-2006174658
809,-1949037107
810,-1882759525
811,-1807652720
812,-1724068908
813,-1632400054
814,-1533076041
815,-1426562651
816,-1313359379
817,-1193997092
818,-1069035543
819,-939060740
820,-804682200
821,-666530094
822,-525252287
823,-381511303
824,-235981218
825,-89344497
826,57711206
827,204496272
828,350322351
829,494505589
830,636369838
831,775249822
832,910494264
833,1041468933
834,1167559621
835,1288175024
836,1402749516
837,1510745799
838,1611657421
839,1705011157
840,1790369224
841,1867331334
842,1935536572
843,1994665090
844,2044439602
845,2084626691
846,2115037900
847,2135530614
848,2146008733
849,2146423119
850,2136771829
851,2117100123
852,2087500252
853,2048111024
854,1999117156
855,1940748406
856,1873278493
857,1797023820
858,1712341982
859,1619630097
860,1519322939
861,1411890897
862,1297837778
863,1177698433
864,1052036258
865,921440546
866,786523729
867,647918499
868,506274849
869,362257016
870,216540375
871,69808266
872,-77251209
873,-223948415
874,-369595412
875,-513509187
876,-655014855
877,-793448823
878,-928161903
879,-1058522358
880,-1183918860
881,-1303763361
882,-1417493849
883,-1524576983
884,-1624510596
885,-1716826048
886,-1801090424
887,-1876908566
888,-1943924924
889,-2001825223
890,-2050337940
891,-2089235574
892,-2118335713
893,-2137501893
894,-2146644233
895,-2145719861
896,-2134733110
897,-2113735504
898,-2082825511
899,-2042148084
900,-1991893980
901,-1932298867
902,-1863642215
903,-1786245992
904,-1700473148
905,-1606725916
906,-1505443924
907,-1397102135
908,-1282208620
909,-1161302173
910,-1034949785
911,-903743989
912,-768300076
913,-629253210
914,-487255454
915,-342972708
916,-197081587
917,-50266250
918,96784810
919,243381997
920,388837842
921,532470228
922,673605588
923,811582067
924,945752622
925,1075488060
926,1200179984
927,1319243651
928,1432120709
929,1538281820
930,1637229141
931,1728498658
932,1811662360
933,1886330251
934,1952152174
935,2008819457
936,2056066358
937,2093671313
938,2121457972
939,2139296029
940,2147101833
941,2144838778
942,2132517478
943,2110195712
944,2077978159
945,2036015903
946,1984505728
947,1923689190
948,1853851490
949,1775320131
950,1688463389
951,1593688578
952,1491440146
953,1382197589
954,1266473200
955,1144809670
956,1017777543
957,885972536
958,750012750
959,610535771
960,468195678
961,323659975
962,177606466
963,30720069
964,-116310390
965,-262795410
966,-408048048
967,-551387141
968,-692140497
969,-829648052
970,-963264963
971,-1092364632
972,-1216341644
973,-1334614609
974,-1446628882
975,-1551859173
976,-1649812003
977,-1740028020
978,-1822084156
979,-1895595608
980,-1960217641
981,-2015647212
982,-2061624382
983,-2097933541
984,-2124404416
985,-2140912873
986,-2147381494
987,-2143779945
988,-2130125115
989,-2106481039
990,-2072958596
991,-2029714989
992,-1976953011
993,-1914920089
994,-1843907128
995,-1764247142
996,-1676313700
997,-1580519165
998,-1477312767
999,-1367178494
1000,-1250632822
1001,-1128222293
1002,-1000520953
1003,-868127658
1004,-731663268
1005,-591767735
1006,-449097101
1007,-304320420
1008,-158116625
1009,-11171341
1010,135826331
1011,282187044
1012,427224438
1013,570258358
1014,710618045
1015,847645280
1016,980697474
1017,1109150675
1018,1232402501
1019,1349874962
1020,1461017168
1021,1565307918
1022,1662258138
1023,1751413180
1024,1832354949
1025,1904703869
1026,1968120658
1027,2022307922
1028,2067011551
1029,2102021905
1030,2127174803
1031,2142352291
1032,2147483192
1033,2142543447
1034,2127556220
1035,2102591793
1036,2067767238
1037,2023245865
1038,1969236457
1039,1905992292
1040,1833809954
1041,1753027943
1042,1664025088
1043,1567218768
1044,1463062957
1045,1352046096
1046,1234688800
1047,1111541416
1048,983181445
1049,850210835
1050,713253150
1051,572950657
1052,429961305
1053,284955644
1054,138613681
1055,-8378311
1056,-155331015
1057,-301555292
1058,-446365422
1059,-589082316
1060,-729036701
1061,-865572261
1062,-998048710
1063,-1125844798
1064,-1248361224
1065,-1365023445
1066,-1475284373
1067,-1578626939
1068,-1674566515
1069,-1762653192
1070,-1842473887
1071,-1913654279
1072,-1975860568
1073,-2028801036
1074,-2072227418
1075,-2105936066
1076,-2129768902
1077,-2143614163
1078,-2147406920
1079,-2141129388
1080,-2124811005
1081,-2098528297
1082,-2062404516
1083,-2016609065
1084,-1961356703
1085,-1896906536
1086,-1823560805
1087,-1741663463
1088,-1651598572
1089,-1553788489
1090,-1448691898
1091,-1336801649
1092,-1218642453
1093,-1094768420
1094,-965760458
1095,-832223551
1096,-694783922
1097,-554086096
1098,-410789877
1099,-265567254
1100,-119099250
1101,27927270
1102,174822826
1103,320898548
1104,465469413
1105,607857454
1106,747394940
1107,883427509
1108,1015317234
1109,1142445618
1110,1264216490
1111,1380058804
1112,1489429316
1113,1591815132
1114,1686736114
1115,1773747126
1116,1852440132
1117,1922446098
1118,1983436731
1119,2035126014
1120,2077271551
1121,2109675699
1122,2132186499
1123,2144698385
1124,2147152684
1125,2139537885
1126,2121889700
1127,2094290888
1128,2056870874
1129,2009805142
1130,1953314405
1131,1887663577
1132,1813160530
1133,1730154645
1134,1639035180
1135,1540229441
1136,1434200779
1137,1321446415
1138,1202495113
1139,1077904697
1140,948259434
1141,814167298
1142,676257114
1143,535175615
1144,391584404
1145,246156854
1146,99574948
1147,-47473915
1148,-194300149
1149,-340215211
1150,-484534829
1151,-626582216
1152,-765691238
1153,-901209543
1154,-1032501615
1155,-1158951758
1156,-1279966985
1157,-1394979791
1158,-1503450823
1159,-1604871406
1160,-1698765926
1161,-1784694063
1162,-1862252857
1163,-1931078595
1164,-1990848518
1165,-2041282334
1166,-2082143532
1167,-2113240495
1168,-2134427392
1169,-2145604867
1170,-2146720504
1171,-2137769070
1172,-2118792544
1173,-2089879916
1174,-2051166771
1175,-2002834657
1176,-1945110227
1177,-1878264179
1178,-1802609991
1179,-1718502442
1180,-1626335956
1181,-1526542749
1182,-1419590802
1183,-1305981668
1184,-1186248118
1185,-1060951643
1186,-930679824
1187,-796043571
1188,-657674262
1189,-516220783
1190,-372346480
1191,-226726054
1192,-80042394
1193,67016625
1194,213761370
1195,359503678
1196,503560090
1197,645255051
1198,783924081
1199,918916890
1200,1049600428
1201,1175361852
1202,1295611404
1203,1409785171
1204,1517347734
1205,1617794677
1206,1710654954
1207,1795493095
1208,1871911250
1209,1939551056
1210,1998095315
1211,2047269483
1212,2086842958
1213,2116630158
1214,2136491397
1215,2146333535
1216,2146110417
1217,2135823090
1218,2115519796
1219,2085295747
1220,2045292680
1221,1995698190
1222,1936744850
1223,1868709122
1224,1791910062
1225,1706707819
1226,1613501950
1227,1512729545
1228,1404863178
1229,1290408688
1230,1169902813
1231,1043910664
1232,913023085
1233,777853873
1234,639036906
1235,497223169
1236,353077698
1237,207276465
1238,60503207
1239,-86553781
1240,-233204875
1241,-378762352
1242,-522543619
1243,-663874411
1244,-802091957
1245,-936548083
1246,-1066612256
1247,-1191674539
1248,-1311148450
1249,-1424473716
1250,-1531118896
1251,-1630583876
1252,-1722402214
1253,-1806143327
1254,-1881414511
1255,-1947862779
1256,-2005176523
1257,-2053086968
1258,-2091369438
1259,-2119844408
1260,-2138378342
1261,-2146884327
1262,-2145322473
1263,-2133700105
1264,-2112071725
1265,-2080538761
1266,-2039249087
1267,-1988396330
1268,-1928218967
1269,-1858999198
1270,-1781061631
1271,-1694771755
1272,-1600534227
1273,-1498790976
1274,-1390019127
1275,-1274728768
1276,-1153460553
1277,-1026783172
1278,-895290679
1279,-759599711
1280,-620346591
1281,-478184348
1282,-333779655
1283,-187809698
1284,-40959005
1285,106083765
1286,252629054
1287,397989637
1288,541483842
1289,682438753
1290,820193360
1291,954101660
1292,1083535690
1293,1207888467
1294,1326576837
1295,1439044209
1296,1544763167
1297,1643237941
1298,1734006731
1299,1816643877
1300,1890761850
1301,1956013075
1302,2012091553
1303,2058734305
1304,2095722598
1305,2122882977
1306,2140088071
1307,2147257198
1308,2144356738
1309,2131400292
1310,2108448619
1311,2075609353
1312,2033036493
1313,1980929685
1314,1919533284
1315,1849135210
1316,1770065595
1317,1682695238
1318,1587433861
1319,1484728196
1320,1375059880
1321,1258943205
1322,1136922702
1323,1009570586
1324,877484078
1325,741282598
1326,601604865
1327,459105899
1328,314453950
1329,168327366
1330,21411409
1331,-125604956
1332,-272032296
1333,-417183938
1334,-560379191
1335,-700946539
1336,-838226790
1337,-971576167
1338,-1100369327
1339,-1224002292
1340,-1341895284
1341,-1453495443
1342,-1558279418
1343,-1655755824
1344,-1745467544
1345,-1826993874
1346,-1899952495
1347,-1964001267
1348,-2018839833
1349,-2064211026
1350,-2099902078
1351,-2125745614
1352,-2141620443
1353,-2147452117
1354,-2143213291
1355,-2128923840
1356,-2104650778
1357,-2070507931
1358,-2026655413
1359,-1973298872
1360,-1910688522
1361,-1839117978
1362,-1758922868
1363,-1670479269
1364,-1574201938
1365,-1470542370
1366,-1359986676
1367,-1243053309
1368,-1120290629
1369,-992274333
1370,-859604756
1371,-722904052
1372,-582813281
1373,-439989401
1374,-295102185
1375,-148831084
1376,-1862038
1377,145115738
1378,291412994
1379,436343666
1380,579228099
1381,719396234
1382,856190754
1383,988970156
1384,1117111772
1385,1240014679
1386,1357102523
1387,1467826220
1388,1571666528
1389,1668136488
1390,1756783703
1391,1837192461
1392,1908985683
1393,1971826695
1394,2025420803
1395,2069516677
1396,2103907529
1397,2128432083
1398,2142975329
1399,2147469068
1400,2141892227
1401,2126270957
1402,2100678515
1403,2065234917
1404,2020106376
1405,1965504523
1406,1901685414
1407,1828948330
1408,1747634371
1409,1658124861
1410,1560839555
1411,1456234674
1412,1344800764
1413,1227060395
1414,1103565713
1415,974895846
1416,841654195
1417,704465596
1418,563973397
1419,420836439
1420,275725964
1421,129322468
1422,-17687485
1423,-164614494
1424,-310769542
1425,-455467232
1426,-598029003
1427,-737786311
1428,-874083761
1429,-1006282185
1430,-1133761637
1431,-1255924301
1432,-1372197294
1433,-1482035352
1434,-1584923388
1435,-1680378907
1436,-1767954270
1437,-1847238792
1438,-1917860666
1439,-1979488710
1440,-2031833919
1441,-2074650820
1442,-2107738622
1443,-2130942159
1444,-2144152619
1445,-2147308050
1446,-2140393656
1447,-2123441860
1448,-2096532160
1449,-2059790749
1450,-2013389925
1451,-1957547285
1452,-1892524706
1453,-1818627109
1454,-1736201041
1455,-1645633037
1456,-1547347818
1457,-1441806294
1458,-1329503403
1459,-1210965791
1460,-1086749340
1461,-957436566
1462,-823633882
1463,-685968758
1464,-545086775
1465,-401648601
1466,-256326892
1467,-109803135
1468,37235544
1469,184099608
1470,330100334
1471,474553052
1472,616780347
1473,756115243
1474,891904329
1475,1023510819
1476,1150317543
1477,1271729840
1478,1387178345
1479,1496121661
1480,1598048898
1481,1692482066
1482,1778978320
1483,1857132035
1484,1926576707
1485,1986986676
1486,2038078648
1487,2079613027
1488,2111395037
1489,2133275636
1490,2145152214
1491,2146969076
1492,2138717701
1493,2120436786
1494,2092212058
1495,2054175877
1496,2006506615
1497,1949427818
1498,1883207156
1499,1808155172
1500,1724623824
1501,1633004833
1502,1533727847
1503,1427258426
1504,1314095861
1505,1194770828
1506,1069842904
1507,939897939
1508,805545312
1509,667415071
1510,526154979
1511,382427477
1512,236906578
1513,90274702
1514,-56780517
1515,-203569464
1516,-349403770
1517,-493599543
1518,-635480575
1519,-774381514
1520,-909650981
1521,-1040654630
1522,-1166778117
1523,-1287429985
1524,-1402044435
1525,-1510083982
1526,-1611041972
1527,-1704444962
1528,-1789854939
1529,-1866871369
1530,-1935133086
1531,-1994319973
1532,-2044154474
1533,-2084402889
1534,-2114876473
1535,-2135432319
1536,-2145974031
1537,-2146452173
1538,-2136864503
1539,-2117255982
1540,-2087718565
1541,-2048390768
1542,-1999457019
1543,-1941146793
1544,-1873733537
1545,-1797533386
1546,-1712903681
1547,-1620241295
1548,-1519980769
1549,-1412592276
1550,-1298579415
1551,-1178476851
1552,-1052847806
1553,-922281419
1554,-787389983
1555,-648806072
1556,-507179578
1557,-363174660
1558,-217466630
1559,-70738787
1560,76320785
1561,223022450
1562,368678250
1563,512605128
1564,654128139
1565,792583608
1566,927322248
1567,1057712199
1568,1183141996
1569,1303023436
1570,1416794332
1571,1523921155
1572,1623901532
1573,1716266604
1574,1800583225
1575,1876455989
1576,1943529092
1577,2001487992
1578,2050060892
1579,2089020008
1580,2118182640
1581,2137412031
1582,2146618003
1583,2145757385
1584,2134834214
1585,2113899713
1586,2083052055
1587,2042435900
1588,1992241719
1589,1932704897
1590,1864104634
1591,1786762631
1592,1701041583
1593,1607343482
1594,1506107725
1595,1397809058
1596,1282955350
1597,1162085207
1598,1035765453
1599,904588465
1600,769169399
1601,630143305
1602,488162146
1603,343891744
1604,198008659
1605,51197010
1606,-95854727
1607,-242456954
1608,-387922175
1609,-531568231
1610,-672721492
1611,-810720018
1612,-944916663
1613,-1074682110
1614,-1199407823
1615,-1318508900
1616,-1431426813
1617,-1537632035
1618,-1636626513
1619,-1727946012
1620,-1811162289
1621,-1885885099
1622,-1951764030
1623,-2008490140
1624,-2055797414
1625,-2093464001
1626,-2121313265
1627,-2139214606
1628,-2147084076
1629,-2144884770
1630,-2132627002
1631,-2110368256
1632,-2078212913
1633,-2036311768
1634,-1984861314
1635,-1924102831
1636,-1854321245
1637,-1775843799
1638,-1689038513
